task_id,phase,target_type,target,required_fields,acceptance,status,priority
GPS-01,PH1-GPS,station,Chi cục Kiểm lâm tỉnh Gia Lai,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-02,PH1-GPS,station,Chi cục Kiểm lâm tỉnh Gia Lai — Phòng Xử lý vi phạm về lâm nghiệp,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-03,PH1-GPS,team,Đội Kiểm lâm cơ động và PCCCR số 1,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-04,PH1-GPS,team,Đội Kiểm lâm cơ động và PCCCR số 2,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-05,PH1-GPS,team,Đội Kiểm lâm cơ động và PCCCR số 3,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-06,PH1-GPS,station,Hạt Kiểm lâm khu vực An Khê,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-07,PH1-GPS,station,Hạt Kiểm lâm khu vực An Lão,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-08,PH1-GPS,station,Hạt Kiểm lâm khu vực An Nhơn,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-09,PH1-GPS,station,Hạt Kiểm lâm khu vực Ayun Pa,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-10,PH1-GPS,station,Hạt Kiểm lâm khu vực Chư Păh,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-11,PH1-GPS,station,Hạt Kiểm lâm khu vực Chư Prông,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-12,PH1-GPS,station,Hạt Kiểm lâm khu vực Chư Sê,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-13,PH1-GPS,station,Hạt Kiểm lâm khu vực Đak Đoa,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-14,PH1-GPS,station,Hạt Kiểm lâm khu vực Đức Cơ,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-15,PH1-GPS,station,Hạt Kiểm lâm khu vực Hoài Ân,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-16,PH1-GPS,station,Hạt Kiểm lâm khu vực Hoài Nhơn,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-17,PH1-GPS,station,Hạt Kiểm lâm khu vực Ia Grai,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-18,PH1-GPS,station,Hạt Kiểm lâm khu vực Ia Pa,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-19,PH1-GPS,station,Hạt Kiểm lâm khu vực Kbang,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-20,PH1-GPS,station,Hạt Kiểm lâm khu vực Kông Chro,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-21,PH1-GPS,station,Hạt Kiểm lâm khu vực Mang Yang,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-22,PH1-GPS,station,Hạt Kiểm lâm khu vực Phù Cát,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-23,PH1-GPS,station,Hạt Kiểm lâm khu vực Phù Mỹ,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-24,PH1-GPS,station,Hạt Kiểm lâm khu vực Phú Túc,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-25,PH1-GPS,station,Hạt Kiểm lâm khu vực Tây Sơn,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-26,PH1-GPS,station,Hạt Kiểm lâm khu vực Tuy Phước - Quy Nhơn,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-27,PH1-GPS,station,Hạt Kiểm lâm khu vực Vân Canh,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
GPS-28,PH1-GPS,station,Hạt Kiểm lâm khu vực Vĩnh Thạnh,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,P0
WTR-01,PH2-WATER,water,An Khê,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,P0
WTR-02,PH2-WATER,water,Ayun Hạ,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,P0
WTR-03,PH2-WATER,water,Biển Hồ (T'Nưng),contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,P0
WTR-04,PH2-WATER,water,Hồ Bầu Cạn,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,P0
WTR-05,PH2-WATER,water,Hồ Ia Hrung,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,P0
WTR-06,PH2-WATER,water,Hội Sơn,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,P0
WTR-07,PH2-WATER,water,Ia Mơr,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,P0
WTR-08,PH2-WATER,water,Ia Ring (Vòng Ia),contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,P0
WTR-09,PH2-WATER,water,Ialy,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,P0
WTR-10,PH2-WATER,water,Ka Nak,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,P0
WTR-11,PH2-WATER,water,Núi Một,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,P0
